name,nomination_no,congress_no,circuit,confirmation_date,yea_votes,nay_votes,record_vote_number
D. Brooks Smith,PN1005,107,Third,07/31/2002,64,35,202
Jeffrey R. Howard,PN898,107,First,04/23/2002,99,0,79
Harris L. Hartz,PN897,107,Tenth,12/06/2001,99,0,353
Richard R. Clifton,PN894,107,Ninth,07/18/2002,98,0,184
Edith Brown Clement,PN893,107,Fifth,11/13/2001,99,0,335
Lavenski R. Smith,PN889,107,Eighth,07/15/2002,,,
Dennis W. Shedd,PN888,107,Fourth,11/19/2002,55,44,250
Sharon Prost,PN886,107,Federal,09/21/2001,97,0,282
Barrington D. Parker,PN884,107,Second,10/11/2001,00,0,297
Terrence L. O'Brien,PN882,107,Tenth,04/15/2002,98,0,68
Michael J. Melloy,PN881,107,Eighth,02/11/2002,91,0,21
Michael W. McConnell,PN880,107,Tenth,11/15/2002,,,
William J. Riley,PN458,107,Eighth,08/02/2001,97,0,270
Roger L. Gregory,PN402,107,Fourth,07/20/2001,93,1,244
